Festival Name,Start Date,End Date,2027 Dates (if applicable),Location,Type,Website,Organiser/Contact ,Contact email ,Contact Phone,Email sent?
Just Believe Festival,various dates april - august,,,"LOVE Park, 1599 John F Kennedy Blvd, Philadelphia, PA 19102",,https://justbelievefestival.com/,,,,FALSE
Bizarre at Clark Park,Various Saturdays,,,,,,,,,FALSE
Port Richmond Flea Market,Various Weekends,,,,,,,,,FALSE
East Falls Fest,,,,,,https://discovereastfalls.org/fallsfest/,,,,FALSE
Greater Philadelphia Cheesesteak Festival ,,,,,Food & Drink,https://www.facebook.com/events/s/greater-philadelphia-cheeseste/803898165808959/?rdid=ns4nNzILL1F0oST8&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1DTSbyBEwE%2F#,"SoulJoel’s at SunnyBrook in Pottstown, PA",info@sjpcomedy.com,(484) 300-4681,FALSE
KPop Flea Market,,,,,,,,,,FALSE
Montco Jazz Fest,,,,,Cultural Heritage,,,,,FALSE
Punk Rock Flea Market,,,,,,,,,,FALSE
Roktober Fest,,,,,,,,,,FALSE
Socafro Carnival ,,,,,,,,,,FALSE
Southeast Asian Market,,,,,,https://www.fdrseamarket.com/,,,,FALSE
